id,suggestion_text,triggered_on,status
W000,Move 45 Notebook A5 from Kolkata to Mumbai.,2025-06-29 09:15 PM,Completed
W001,Move 43 LED Bulb from Delhi to Mumbai.,2025-06-26 10:08 AM,Pending
W002,Move 31 Handwash 250ml from Mumbai to Jaipur.,2025-06-27 09:19 AM,Completed
W003,Move 28 LED Bulb from Surat to Surat.,2025-06-27 03:11 PM,Pending
W004,Move 42 Kurta Set from Kolkata to Delhi.,2025-06-28 05:16 PM,In Review
W005,Move 68 Handwash 250ml from Mumbai to Delhi.,2025-06-27 07:32 PM,Completed
W006,Move 87 Rice 5kg from Delhi to Mumbai.,2025-06-27 08:24 PM,Completed
W007,Move 82 LED Bulb from Kolkata to Surat.,2025-06-25 03:39 PM,Completed
W008,Move 89 LED Bulb from Delhi to Jaipur.,2025-06-29 09:34 AM,Pending
W009,Move 34 Notebook A5 from Kolkata to Kolkata.,2025-06-30 11:53 AM,Completed
W010,Move 51 LED Bulb from Jaipur to Mumbai.,2025-06-26 09:14 PM,Completed
W011,Move 60 Kurta Set from Delhi to Kolkata.,2025-06-24 12:44 AM,In Review
W012,Move 36 LED Bulb from Kolkata to Surat.,2025-06-27 02:33 PM,Completed
W013,Move 50 Kurta Set from Delhi to Delhi.,2025-06-27 07:25 PM,In Review
W014,Move 47 LED Bulb from Jaipur to Surat.,2025-06-30 08:22 AM,Completed
W015,Move 53 Notebook A5 from Kolkata to Kolkata.,2025-06-24 12:57 PM,Completed
W016,Move 74 LED Bulb from Delhi to Jaipur.,2025-06-29 01:25 PM,Completed
W017,Move 82 Rice 5kg from Delhi to Jaipur.,2025-06-25 08:34 PM,Completed
W018,Move 77 LED Bulb from Mumbai to Surat.,2025-06-26 04:48 PM,Pending
W019,Move 88 Rice 5kg from Jaipur to Surat.,2025-06-25 11:37 PM,In Review
W020,Move 62 Rice 5kg from Surat to Surat.,2025-06-26 11:20 AM,Pending
W021,Move 22 LED Bulb from Jaipur to Delhi.,2025-06-30 01:53 PM,Completed
W022,Move 90 Kurta Set from Jaipur to Surat.,2025-06-27 11:42 PM,Pending
W023,Move 66 Handwash 250ml from Mumbai to Mumbai.,2025-06-24 11:42 PM,In Review
W024,Move 70 Rice 5kg from Delhi to Mumbai.,2025-06-29 01:33 AM,Completed
W025,Move 62 LED Bulb from Mumbai to Surat.,2025-06-24 08:42 PM,In Review
W026,Move 51 Kurta Set from Jaipur to Jaipur.,2025-06-28 08:55 AM,In Review
W027,Move 33 Handwash 250ml from Kolkata to Kolkata.,2025-06-26 02:45 AM,Pending
W028,Move 40 Notebook A5 from Delhi to Jaipur.,2025-06-27 12:27 PM,Pending
W029,Move 100 Rice 5kg from Jaipur to Delhi.,2025-06-27 05:07 PM,In Review
W030,Move 35 LED Bulb from Kolkata to Mumbai.,2025-06-30 08:23 AM,In Review
W031,Move 54 Kurta Set from Jaipur to Jaipur.,2025-06-29 01:57 AM,In Review
W032,Move 73 Kurta Set from Jaipur to Surat.,2025-06-25 07:42 PM,In Review
W033,Move 39 Kurta Set from Surat to Kolkata.,2025-06-30 02:16 PM,Pending
W034,Move 97 Notebook A5 from Delhi to Kolkata.,2025-06-25 02:05 PM,In Review
W035,Move 22 Notebook A5 from Delhi to Kolkata.,2025-06-24 04:41 AM,Pending
W036,Move 32 Notebook A5 from Surat to Kolkata.,2025-06-24 08:07 AM,Completed
W037,Move 57 LED Bulb from Jaipur to Mumbai.,2025-06-24 06:18 PM,Completed
W038,Move 91 Notebook A5 from Kolkata to Delhi.,2025-06-24 05:18 PM,In Review
W039,Move 88 Handwash 250ml from Mumbai to Kolkata.,2025-06-28 11:19 PM,Pending
W040,Move 83 LED Bulb from Delhi to Surat.,2025-06-25 09:22 PM,In Review
W041,Move 33 LED Bulb from Mumbai to Surat.,2025-06-25 08:13 PM,Pending
W042,Move 70 Rice 5kg from Kolkata to Delhi.,2025-06-27 12:47 PM,Completed
W043,Move 92 Kurta Set from Delhi to Delhi.,2025-06-29 09:14 AM,Pending
W044,Move 100 Kurta Set from Jaipur to Surat.,2025-06-28 10:42 AM,Pending
W045,Move 46 LED Bulb from Surat to Mumbai.,2025-06-30 06:42 AM,Pending
W046,Move 38 LED Bulb from Surat to Kolkata.,2025-06-29 10:49 AM,In Review
W047,Move 92 Rice 5kg from Jaipur to Kolkata.,2025-06-30 07:09 AM,Completed
W048,Move 72 Notebook A5 from Delhi to Mumbai.,2025-06-25 03:27 PM,Pending
W049,Move 61 Handwash 250ml from Surat to Kolkata.,2025-06-25 05:47 AM,Pending
W050,Move 54 Rice 5kg from Surat to Kolkata.,2025-06-25 05:31 AM,In Review
W051,Move 83 Notebook A5 from Mumbai to Delhi.,2025-06-30 10:12 AM,Completed
W052,Move 81 Handwash 250ml from Surat to Jaipur.,2025-06-29 03:26 AM,Pending
W053,Move 74 Kurta Set from Kolkata to Mumbai.,2025-06-26 10:56 PM,Pending
W054,Move 40 Handwash 250ml from Jaipur to Mumbai.,2025-06-26 07:45 PM,Pending
W055,Move 76 Kurta Set from Jaipur to Kolkata.,2025-06-24 03:52 PM,Completed
W056,Move 41 Handwash 250ml from Kolkata to Mumbai.,2025-06-25 12:53 PM,In Review
W057,Move 90 LED Bulb from Kolkata to Jaipur.,2025-06-26 01:48 AM,Completed
W058,Move 35 LED Bulb from Delhi to Delhi.,2025-06-23 10:19 PM,In Review
W059,Move 61 Handwash 250ml from Delhi to Surat.,2025-06-24 09:52 AM,In Review
W060,Move 41 Rice 5kg from Delhi to Surat.,2025-06-26 07:21 PM,In Review
W061,Move 46 Handwash 250ml from Delhi to Surat.,2025-06-24 03:11 PM,In Review
W062,Move 52 LED Bulb from Kolkata to Mumbai.,2025-06-23 06:53 PM,Completed
W063,Move 37 Rice 5kg from Surat to Kolkata.,2025-06-29 07:31 AM,Pending
W064,Move 60 LED Bulb from Mumbai to Mumbai.,2025-06-24 10:58 AM,Completed
W065,Move 28 Kurta Set from Delhi to Mumbai.,2025-06-26 11:30 PM,Pending
W066,Move 32 Handwash 250ml from Kolkata to Delhi.,2025-06-28 12:35 PM,Pending
W067,Move 27 Handwash 250ml from Kolkata to Surat.,2025-06-28 10:07 AM,Pending
W068,Move 28 Notebook A5 from Surat to Mumbai.,2025-06-26 12:17 AM,Completed
W069,Move 100 Kurta Set from Mumbai to Delhi.,2025-06-26 12:50 PM,Completed
W070,Move 74 Handwash 250ml from Delhi to Delhi.,2025-06-28 03:58 PM,In Review
W071,Move 71 Notebook A5 from Surat to Surat.,2025-06-24 01:49 PM,In Review
